SBY 15:14:49 [SPIMaster] Copy 'SPIMaster.sv' to 'SPIMaster/src/SPIMaster.sv'.
SBY 15:14:49 [SPIMaster] engine_0: smtbmc --dumpsmt2 yices
SBY 15:14:49 [SPIMaster] base: starting process "cd SPIMaster/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 15:14:49 [SPIMaster] base: Warning: Yosys has only limited support for tri-state logic at the moment. (SPIMaster.sv:578)
SBY 15:14:49 [SPIMaster] base: SPIMaster.sv:108: Warning: Identifier `\r_Slave_RX_Byte' is implicitly declared.
SBY 15:14:49 [SPIMaster] base: Warning: Async reset value `\r_TX_Byte [7]' is not constant!
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_DV is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [15] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [14] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [13] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [12] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [11] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [10] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [9] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [8] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [7] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [6] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [5] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [4] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [3] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [2] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [1] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [0] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [15] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [14] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [13] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [12] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [11] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [10] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [9] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [8] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [7] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [6] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [5] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [4] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [3] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [2] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [1] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [0] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Clk is used but has no driver.
SBY 15:14:50 [SPIMaster] base: finished (returncode=0)
SBY 15:14:50 [SPIMaster] smt2: starting process "cd SPIMaster/model; yosys -ql design_smt2.log design_smt2.ys"
SBY 15:14:50 [SPIMaster] smt2: finished (returncode=0)
SBY 15:14:50 [SPIMaster] engine_0.basecase: starting process "cd SPIMaster; yosys-smtbmc -s yices --presat --unroll --dump-smt2 engine_0/trace.smt2 --noprogress -t 180  --append 0 --dump-vcd engine_0/trace.vcd --dump-vlogtb engine_0/trace_tb.v --dump-smtc engine_0/trace.smtc model/design_smt2.smt2"
SBY 15:14:50 [SPIMaster] engine_0.induction: starting process "cd SPIMaster; yosys-smtbmc -s yices --presat --unroll -i --dump-smt2 engine_0/trace_induct.smt2 --noprogress -t 180  --append 0 --dump-vcd engine_0/trace_induct.vcd --dump-vlogtb engine_0/trace_induct_tb.v --dump-smtc engine_0/trace_induct.smtc model/design_smt2.smt2"
SBY 15:14:50 [SPIMaster] engine_0.induction: ##   0:00:00  Solver: yices
SBY 15:14:50 [SPIMaster] engine_0.basecase: ##   0:00:00  Solver: yices
SBY 15:14:51 [SPIMaster] engine_0.induction: ##   0:00:00  Trying induction in step 180..
SBY 15:14:51 [SPIMaster] engine_0.induction: ##   0:00:00  Temporal induction successful.
SBY 15:14:51 [SPIMaster] engine_0.induction: ##   0:00:00  Status: passed
SBY 15:14:51 [SPIMaster] engine_0.induction: finished (returncode=0)
SBY 15:14:51 [SPIMaster] engine_0: Status returned by engine for induction: pass
SBY 15:14:51 [SPIMaster] engine_0.basecase: ##   0:00:00  Checking assumptions in step 0..
SBY 15:14:51 [SPIMaster] engine_0.basecase: ##   0:00:00  Checking assertions in step 0..
SBY 15:14:51 [SPIMaster] engine_0.basecase: ##   0:00:00  Checking assumptions in step 1..
SBY 15:14:51 [SPIMaster] engine_0.basecase: ##   0:00:00  Checking assertions in step 1..
SBY 15:14:52 [SPIMaster] engine_0.basecase: ##   0:00:01  Checking assumptions in step 2..
SBY 15:14:52 [SPIMaster] engine_0.basecase: ##   0:00:01  Checking assertions in step 2..
SBY 15:14:52 [SPIMaster] engine_0.basecase: ##   0:00:01  Checking assumptions in step 3..
SBY 15:14:52 [SPIMaster] engine_0.basecase: ##   0:00:01  Checking assertions in step 3..
SBY 15:14:52 [SPIMaster] engine_0.basecase: ##   0:00:01  Checking assumptions in step 4..
SBY 15:14:52 [SPIMaster] engine_0.basecase: ##   0:00:01  Checking assertions in step 4..
SBY 15:14:52 [SPIMaster] engine_0.basecase: ##   0:00:01  Checking assumptions in step 5..
SBY 15:14:52 [SPIMaster] engine_0.basecase: ##   0:00:01  Checking assertions in step 5..
SBY 15:14:53 [SPIMaster] engine_0.basecase: ##   0:00:02  Checking assumptions in step 6..
SBY 15:14:53 [SPIMaster] engine_0.basecase: ##   0:00:02  Checking assertions in step 6..
SBY 15:14:53 [SPIMaster] engine_0.basecase: ##   0:00:02  Checking assumptions in step 7..
SBY 15:14:53 [SPIMaster] engine_0.basecase: ##   0:00:02  Checking assertions in step 7..
SBY 15:14:53 [SPIMaster] engine_0.basecase: ##   0:00:02  Checking assumptions in step 8..
SBY 15:14:53 [SPIMaster] engine_0.basecase: ##   0:00:02  Checking assertions in step 8..
SBY 15:14:54 [SPIMaster] engine_0.basecase: ##   0:00:03  Checking assumptions in step 9..
SBY 15:14:54 [SPIMaster] engine_0.basecase: ##   0:00:03  Checking assertions in step 9..
SBY 15:14:54 [SPIMaster] engine_0.basecase: ##   0:00:03  Checking assumptions in step 10..
SBY 15:14:54 [SPIMaster] engine_0.basecase: ##   0:00:03  Checking assertions in step 10..
SBY 15:14:54 [SPIMaster] engine_0.basecase: ##   0:00:03  Checking assumptions in step 11..
SBY 15:14:54 [SPIMaster] engine_0.basecase: ##   0:00:03  Checking assertions in step 11..
SBY 15:14:54 [SPIMaster] engine_0.basecase: ##   0:00:03  Checking assumptions in step 12..
SBY 15:14:54 [SPIMaster] engine_0.basecase: ##   0:00:03  Checking assertions in step 12..
SBY 15:14:55 [SPIMaster] engine_0.basecase: ##   0:00:04  Checking assumptions in step 13..
SBY 15:14:55 [SPIMaster] engine_0.basecase: ##   0:00:04  Checking assertions in step 13..
SBY 15:14:55 [SPIMaster] engine_0.basecase: ##   0:00:04  Checking assumptions in step 14..
SBY 15:14:55 [SPIMaster] engine_0.basecase: ##   0:00:04  Checking assertions in step 14..
SBY 15:14:55 [SPIMaster] engine_0.basecase: ##   0:00:04  Checking assumptions in step 15..
SBY 15:14:55 [SPIMaster] engine_0.basecase: ##   0:00:04  Checking assertions in step 15..
SBY 15:14:55 [SPIMaster] engine_0.basecase: ##   0:00:04  Checking assumptions in step 16..
SBY 15:14:55 [SPIMaster] engine_0.basecase: ##   0:00:04  Checking assertions in step 16..
SBY 15:14:56 [SPIMaster] engine_0.basecase: ##   0:00:05  Checking assumptions in step 17..
SBY 15:14:56 [SPIMaster] engine_0.basecase: ##   0:00:05  Checking assertions in step 17..
SBY 15:14:56 [SPIMaster] engine_0.basecase: ##   0:00:05  Checking assumptions in step 18..
SBY 15:14:56 [SPIMaster] engine_0.basecase: ##   0:00:05  Checking assertions in step 18..
SBY 15:14:56 [SPIMaster] engine_0.basecase: ##   0:00:05  Checking assumptions in step 19..
SBY 15:14:56 [SPIMaster] engine_0.basecase: ##   0:00:05  Checking assertions in step 19..
SBY 15:14:56 [SPIMaster] engine_0.basecase: ##   0:00:06  Checking assumptions in step 20..
SBY 15:14:56 [SPIMaster] engine_0.basecase: ##   0:00:06  Checking assertions in step 20..
SBY 15:14:57 [SPIMaster] engine_0.basecase: ##   0:00:06  Checking assumptions in step 21..
SBY 15:14:57 [SPIMaster] engine_0.basecase: ##   0:00:06  Checking assertions in step 21..
SBY 15:14:57 [SPIMaster] engine_0.basecase: ##   0:00:06  Checking assumptions in step 22..
SBY 15:14:57 [SPIMaster] engine_0.basecase: ##   0:00:06  Checking assertions in step 22..
SBY 15:14:58 [SPIMaster] engine_0.basecase: ##   0:00:07  Checking assumptions in step 23..
SBY 15:14:58 [SPIMaster] engine_0.basecase: ##   0:00:07  Checking assertions in step 23..
